objectid,filename,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,object_location,image_small,image_thumb,related_publication,publisher-digital,source,rights,rightsstatement,type,language,relation
yearn001,tits_clits_1.pdf,Tits & Clits Comix issue #1 ,application/pdf,,Joyce Farmer; Lyn Chevli,,1972,yes,,,,,,/objects/tits_clits_1,/objects/small/tits_clits_1_sm.pdf,/objects/thumbs/tits_clits_1_th.pdf,,,Kinsey Institute,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text ,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
yearn002,tits_clits_2.pdf,Tits & Clits Comix issue #2,application/pdf,,Joyce Farmer; Lyn Chevli,,1972,yes,,,,,,/objects/tits_clits_2,/objects/small/tits_clits_2_sm.pdf,/objects/thumbs/tits_clits_2_th.pdf,,,Kinsey Institute,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
yearn003,tits_clits_3.pdf,Tits & Clits Comix issue #3,application/pdf,,Joyce Farmer; Lyn Chevli,,1972,yes,,,,,,/objects/tits_clits_3,/objects/small/tits_clits_3_sm.pdf,/objects/thumbs/tits_clits_3_th.pdf,,,Kinsey Institute,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
yearn004,tits_clits_4.pdf,Tits & Clits Comix issue #4,application/pdf,,Joyce Farmer; Lyn Chevli,,1972,yes,,,,,,/objects/tits_clits_4,/objects/small/tits_clits_4_sm.pdf,/objects/thumbs/tits_clits_4_th.pdf,,,Kinsey Institute,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
yearn005,tits_clits_5.pdf,Tits & Clits Comix issue #5,application/pdf,,Joyce Farmer; Lyn Chevli,,1972,yes,,,,,,/objects/tits_clits_5,/objects/small/tits_clits_5_sm.pdf,/objects/thumbs/tits_clits_5_th.pdf,,,Kinsey Institute,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
yearn006,tits_clits_6.pdf,Tits & Clits Comix issue #6,application/pdf,,Joyce Farmer; Lyn Chevli,,1972,yes,,,,,,/objects/tits_clits_6,/objects/small/tits_clits_6_sm.pdf,/objects/thumbs/tits_clits_6_th.pdf,,,Kinsey Institute,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
yearn007,tits_clits_9.pdf,Tits & Clits Comix issue #9,application/pdf,,Joyce Farmer; Lyn Chevli,,1972,yes,,,,,,/objects/tits_clits_9,/objects/small/tits_clits_9_sm.pdf,/objects/thumbs/tits_clits_9_th.pdf,,,Kinsey Institute,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
yearn008,pornography_and_pleasure.pdf,Pornography and Pleasure ,application/pdf,,Paula Webster,,unknown,,,,,,,/objects/pornography_and_pleasure,/objects/small/pornography_and_pleasure_sm.pdf,/objects/thumbs/pornography_and_pleasure_th.pdf,,,Kinsey Institute,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text ,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
yearn009,20240325.pdf,Not a nuanced take I hate ur dad sorry not sorry,application/pdf,,horses_and_memories,,2024-03-24,,,,,,,,,,,,,,,,,
yearn010,20240322.pdf,This collection is titles: There Have Always Been Men Like Him,application/pdf,,horses_and_memories,,2024-03-21,,,,,,,,,,,,,,,,,
yearn011,20240315.pdf,I had this exact egg as a child I treated it with absolute reverence and thought it was my very own fabergé egg I felt like a princess (don't repost the fourth slide you may be flagged apparently meta hates girls and their feelings boo lame) ,application/pdf,,horses_and_memories,,2024-03-15,,,,,,,,,,,,,,,,,
yearn012,20240311.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn013,20240228.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn014,20240221.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn015,20240214.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn016,20240211.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn017,20240205.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn018,20240203.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn019,20240131.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn020,20240127.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn021,20240121.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn022,20240116.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn023,20240109.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn024,20240107.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn025,20240104.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn026,20231227.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn027,20231226.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn028,20231223.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn029,20231220.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn030,20231214.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn031,20231209.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn032,20231202.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn033,20231130.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn034,20231127.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn035,20231125.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn036,20231124.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn037,20231116.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn038,20231114.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn039,20231113.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn040,20231109.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn041,20231104.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn042,20231101.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn043,20231029.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
